department,Environment,subscription_name,resource_identifier,resource_type,resource_location,consecutive_days,description, potential monthly savings ,,,,,,
turkiz,prd,turkiz-starfish-soc60-prd-001,voddc_disk2,disks,westeurope,13,not attached to a vm,  28 ,,,"'voddc_disk2',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,tst,turkiz-starfish-mashands-tst-001,ofek_disk1_0ce68f27e0164f9cacc5c0dcd1a88e37,disks,westeurope,13,not attached to a vm,  28 ,,,"'ofek_disk1_0ce68f27e0164f9cacc5c0dcd1a88e37',",,,"'turkiz-starfish-mashands-tst-001',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,datacluster-f8mdw-dynamic-pvc-93530e54-f386-456d-9bcd-febe452c3dbf,disks,westeurope,13,not attached to a vm,  28 ,,,"'datacluster-f8mdw-dynamic-pvc-93530e54-f386-456d-9bcd-febe452c3dbf',",,,"'turkiz-starfish-paasmamram-dev-001',"
gray,prd,gray-hippo-talpi-prd-001,talpibotmachine_disk1_092c73dd5141412cba5b3cfb5321daaa,disks,westeurope,13,not attached to a vm,  28 ,,,"'talpibotmachine_disk1_092c73dd5141412cba5b3cfb5321daaa',",,,"'gray-hippo-talpi-prd-001',"
yellow,prd,yellow-corn-dvr-prd-002,vm01-ch12_osdisk_1_9a57813436274ee6a31477f5825b1eb9,disks,westeurope,13,not attached to a vm,  28 ,,,"'vm01-ch12_osdisk_1_9a57813436274ee6a31477f5825b1eb9',",,,"'yellow-corn-dvr-prd-002',"
turkiz,dev,turkiz-key-bladeforce-dev-001,app1_datadisk_0,disks,germanywestcentral,13,not attached to a vm,  28 ,,,"'app1_datadisk_0',",,,"'turkiz-key-bladeforce-dev-001',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,datacluster-f8mdw-dynamic-pvc-8f9f97a7-c040-4a76-b1c7-a30038c7f49f,disks,westeurope,13,not attached to a vm,  28 ,,,"'datacluster-f8mdw-dynamic-pvc-8f9f97a7-c040-4a76-b1c7-a30038c7f49f',",,,"'turkiz-starfish-paasmamram-dev-001',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,datacluster-f8mdw-dynamic-pvc-d2e2b4f1-fc96-42bf-a15d-4222d27646d7,disks,westeurope,13,not attached to a vm,  28 ,,,"'datacluster-f8mdw-dynamic-pvc-d2e2b4f1-fc96-42bf-a15d-4222d27646d7',",,,"'turkiz-starfish-paasmamram-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,luzdev,disks,westeurope,13,not attached to a vm,  28 ,,,"'luzdev',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,matantest_osdisk_1_a651a47a89554d45a7b46c07a6219984,disks,westeurope,13,not attached to a vm,  28 ,,,"'matantest_osdisk_1_a651a47a89554d45a7b46c07a6219984',",,,"'turkiz-starfish-soc60-prd-001',"
