"SUB_NAME","ID","NAME","LOCATION","RESOURCEGROUP"
"Turkiz-Key-BladeForce-DEV-001","/subscriptions/fbb704cd-4474-4038-a29f-71ae665560e8/resourceGroups/DEBUGTEST/providers/Microsoft.Compute/disks/October_OsDisk_1_ea972e4f94b24735bd39dc840c2c36d1","October_OsDisk_1_ea972e4f94b24735bd39dc840c2c36d1","francecentral","debugtest"
"Turkiz-Key-BladeForce-DEV-001","/subscriptions/fbb704cd-4474-4038-a29f-71ae665560e8/resourceGroups/NEWATLANTIS/providers/Microsoft.Compute/disks/App1_DataDisk_0","App1_DataDisk_0","germanywestcentral","newatlantis"
"Turkiz-Key-BladeForce-DEV-001","/subscriptions/fbb704cd-4474-4038-a29f-71ae665560e8/resourceGroups/NEWATLANTIS/providers/Microsoft.Compute/disks/App1_OsDisk_1_e89582943ac447be87b66b5d6239a194","App1_OsDisk_1_e89582943ac447be87b66b5d6239a194","germanywestcentral","newatlantis"
"Turkiz-Key-BladeForce-DEV-001","/subscriptions/fbb704cd-4474-4038-a29f-71ae665560e8/resourceGroups/NEWATLANTIS/providers/Microsoft.Compute/disks/Monster_OsDisk_1_320638740cda4a8581014018d0db84bc","Monster_OsDisk_1_320638740cda4a8581014018d0db84bc","germanywestcentral","newatlantis"
"Turkiz-Key-BladeForce-DEV-001","/subscriptions/fbb704cd-4474-4038-a29f-71ae665560e8/resourceGroups/NEWATLANTIS/providers/Microsoft.Compute/disks/NewSky_OsDisk_1_99418d9f83d74b0bb06c26466255a2ea","NewSky_OsDisk_1_99418d9f83d74b0bb06c26466255a2ea","germanywestcentral","newatlantis"
"Turkiz-Key-BladeForce-DEV-001","/subscriptions/fbb704cd-4474-4038-a29f-71ae665560e8/resourceGroups/NEWATLANTIS/providers/Microsoft.Compute/disks/Sadab1_OsDisk_1_a697b31a24f74dbd88039a024e740ce6","Sadab1_OsDisk_1_a697b31a24f74dbd88039a024e740ce6","uksouth","newatlantis"
"Turkiz-Key-BladeForce-DEV-001","/subscriptions/fbb704cd-4474-4038-a29f-71ae665560e8/resourceGroups/NEWATLANTIS/providers/Microsoft.Compute/disks/Sadab2_OsDisk_1_bb570b7c1f714a9a8ae463ef0011cbf0","Sadab2_OsDisk_1_bb570b7c1f714a9a8ae463ef0011cbf0","uksouth","newatlantis"
"Turkiz-Key-BladeForce-DEV-001","/subscriptions/fbb704cd-4474-4038-a29f-71ae665560e8/resourceGroups/NEWATLANTIS/providers/Microsoft.Compute/disks/SadabServer01_OsDisk_1_815f3422defd49aa948cc91f528e4467","SadabServer01_OsDisk_1_815f3422defd49aa948cc91f528e4467","germanywestcentral","newatlantis"
"Turkiz-Key-BladeForce-DEV-001","/subscriptions/fbb704cd-4474-4038-a29f-71ae665560e8/resourceGroups/NEWATLANTIS/providers/Microsoft.Compute/disks/SadabServer01_OsDisk_1_edf1721c1db846909b58445ae06474f4","SadabServer01_OsDisk_1_edf1721c1db846909b58445ae06474f4","germanywestcentral","newatlantis"
"Turkiz-Key-BladeForce-DEV-001","/subscriptions/fbb704cd-4474-4038-a29f-71ae665560e8/resourceGroups/NEWATLANTIS/providers/Microsoft.Compute/disks/SadabServer1_OsDisk_1_39b9959a04774c6a9f3ce0990f5fec5b","SadabServer1_OsDisk_1_39b9959a04774c6a9f3ce0990f5fec5b","germanywestcentral","newatlantis"
